ds,yhat,yhat_lower,yhat_upper
2026-01-01,0.07128700795841009,0.060579595280529884,0.08159640027395954
2026-01-02,0.07196184240846619,0.060824705630837035,0.08275295905718956
2026-01-03,0.030488351968820836,0.02131231628976995,0.04015187321711972
2026-01-04,0.030539622176365213,0.020160885439536494,0.04084598039386827
2026-01-05,0.07129794946873533,0.06068868005348311,0.0817649822207459
2026-01-06,0.07000838414734549,0.05911861596637034,0.0808706392326305
2026-01-07,0.07370637914041385,0.06319125649704956,0.08372811223689791
2026-01-08,0.07407114223266963,0.06343517671966269,0.08558452611872727
2026-01-09,0.07358175346043522,0.06311213025241856,0.08492811228844188
2026-01-10,0.029656157048152047,0.019076198678202587,0.0404531689038765
2026-01-11,0.02910900584530393,0.017496341088002684,0.03949701189461352
2026-01-12,0.07436531240754843,0.06337207768883378,0.08398703963861938
2026-01-13,0.07457787456474442,0.06363525785679058,0.08555567539932801
2026-01-14,0.07316374905153196,0.06229534782881836,0.08322546432884491
